date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD
1997-04-01,JPN,JPY,Japan,294,126,2.33333333333333,-0.0358126721763085
1997-04-01,MEX,MXN,Mexico,14.9,7.9,1.88607594936709,-0.220629772988806
1997-04-01,NLD,NLG,Netherlands,5.45,1.92,2.83854166666667,0.172951101928375
1997-04-01,SGP,SGD,Singapore,3,1.44,2.08333333333333,-0.139118457300275
1997-04-01,ZAF,ZAR,South Africa,7.8,4.43,1.7607223476298,-0.272428781971158
1997-04-01,USA,USD,United States,2.42,1,2.42,0
1998-04-01,AUS,AUD,Australia,2.65,1.51,1.75496688741722,-0.314466059602649
1998-04-01,GBR,GBP,Britain,1.84,0.602409639,3.05439999773974,0.193124999117088
1998-04-01,CAN,CAD,Canada,2.79,1.42,1.96478873239437,-0.232504401408451
1998-04-01,ISR,ILS,Israel,12.5,3.7,3.37837837837838,0.319679054054054
1998-04-01,JPN,JPY,Japan,280,135,2.07407407407407,-0.189814814814815
1998-04-01,MEX,MXN,Mexico,17.9,8.54,2.096018735363,-0.181242681498829
1998-04-01,NLD,NLG,Netherlands,5.45,2.07,2.63285024154589,0.0284571256038648
1998-04-01,SGP,SGD,Singapore,3,1.62,1.85185185185185,-0.27662037037037
1998-04-01,ZAF,ZAR,South Africa,8,5.04,1.58730158730159,-0.379960317460318
1998-04-01,USA,USD,United States,2.56,1,2.56,0
1999-03-01,AUS,AUD,Australia,2.65,1.59,1.66666666666667,-0.314128943758574
1999-03-01,GBR,GBP,Britain,1.9,0.621118012,3.05900000208012,0.258847737481531
1999-03-01,CAN,CAD,Canada,2.99,1.51,1.98013245033113,-0.18513067887608
1999-03-01,ISR,ILS,Israel,13.9,4.04,3.44059405940594,0.415882328973638
1999-03-01,JPN,JPY,Japan,294,120,2.45,0.00823045267489708
1999-03-01,MEX,MXN,Mexico,19.9,9.54,2.08595387840671,-0.141582766087774
1999-03-01,NLD,NLG,Netherlands,5.45,2.05,2.65853658536585,0.0940479775168122
1999-03-01,SGP,SGD,Singapore,3.2,1.73,1.84971098265896,-0.238802064749399
1999-03-01,ZAF,ZAR,South Africa,8.6,6.22,1.38263665594855,-0.431013721831871
1999-03-01,USA,USD,United States,2.43,1,2.43,0
2000-04-01,AUS,AUD,Australia,2.59,1.68,1.54166666666667,-0.385790172642762
2000-04-01,GBR,GBP,Britain,1.9,0.632911392,3.00200000192128,0.19601593702043
2000-04-01,CAN,CAD,Canada,2.85,1.47,1.93877551020408,-0.227579478006342
2000-04-01,ISR,ILS,Israel,14.5,4.05,3.58024691358025,0.426393192661453
2000-04-01,JPN,JPY,Japan,294,106,2.77358490566038,0.1050139066376
2000-04-01,MEX,MXN,Mexico,20.9,9.41,2.22104144527099,-0.115122930170921
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,-0.250058589172721
2000-04-01,ZAF,ZAR,South Africa,9,6.72,1.33928571428571,-0.466420034149118
2000-04-01,USA,USD,United States,2.51,1,2.51,0
2001-04-01,AUS,AUD,Australia,3,1.98,1.51515151515152,-0.403483655452159
2001-04-01,GBR,GBP,Britain,1.99,0.699300699,2.84570000122365,0.120354331190414
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.13461538461538,-0.159600242277408
2001-04-01,JPN,JPY,Japan,294,124,2.37096774193548,-0.0665481330962662
2001-04-01,MEX,MXN,Mexico,21.9,9.29,2.35737351991389,-0.0719001890102811
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,-0.282202984295471
2001-04-01,ZAF,ZAR,South Africa,9.7,8.13,1.19311193111931,-0.530270893260114
2001-04-01,USA,USD,United States,2.54,1,2.54,0
2002-04-01,AUS,AUD,Australia,3,1.86,1.61290322580645,-0.352247700479337
2002-04-01,GBR,GBP,Britain,1.99,0.689655172,2.8855000017313,0.158835342060763
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,-0.148185097076203
2002-04-01,ISR,ILS,Israel,12,4.79,2.50521920668058,0.00611213119702181
2002-04-01,JPN,JPY,Japan,262,130,2.01538461538462,-0.19060858819895
2002-04-01,MEX,MXN,Mexico,21.9,9.28,2.35991379310345,-0.0522434565849604
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,-0.271812524824573
2002-04-01,ZAF,ZAR,South Africa,9.7,10.9,0.889908256880734,-0.642607125750709
2002-04-01,USA,USD,United States,2.49,1,2.49,0
2003-04-01,AUS,AUD,Australia,3,1.61,1.86335403726708,-0.312415484403291
2003-04-01,GBR,GBP,Britain,1.99,0.632911392,3.14420000201229,0.160221402956564
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,-0.185647028884082
2003-04-01,JPN,JPY,Japan,262,120,2.18333333333333,-0.194341943419434
2003-04-01,MEX,MXN,Mexico,23,10.53,2.18423551756885,-0.194009034107435
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,-0.315892035324848
2003-04-01,ZAF,ZAR,South Africa,13.95,7.56,1.8452380952381,-0.319100333860481
2003-04-01,USA,USD,United States,2.71,1,2.71,0
2004-05-01,AUS,AUD,Australia,3.25,1.43,2.27272727272727,-0.216300940438872
2004-05-01,GBR,GBP,Britain,1.88,0.558659218,3.36519999925966,0.160413792848157
2004-05-01,CAN,CAD,Canada,3.19,1.37,2.32846715328467,-0.197080291970803
2004-05-01,JPN,JPY,Japan,262,113,2.31858407079646,-0.200488251449497
2004-05-01,MEX,MXN,Mexico,24,11.6,2.06896551724138,-0.286563614744352
2004-05-01,SGP,SGD,Singapore,3.3,1.71,1.92982456140351,-0.334543254688445
2004-05-01,ZAF,ZAR,South Africa,12.4,6.66,1.86186186186186,-0.357978668323496
2004-05-01,USA,USD,United States,2.9,1,2.9,0
2005-06-01,AUS,AUD,Australia,3.25,1.3015,2.49711870918171,-0.183948134254342
2005-06-01,GBR,GBP,Britain,1.88,0.546448087,3.44040000271792,0.124313726378404
2005-06-01,CAN,CAD,Canada,3.28,1.2494,2.62526012485993,-0.142071854620937
2005-06-01,JPN,JPY,Japan,250,106.715,2.34268846928735,-0.234415532912629
2005-06-01,MEX,MXN,Mexico,28,10.8675,2.57648953301127,-0.158009956532264
2005-06-01,SGP,SGD,Singapore,3.6,1.6607,2.16776058288673,-0.291581508860544
2005-06-01,ZAF,ZAR,South Africa,13.95,6.6482,2.09831232514064,-0.314277017927896
2005-06-01,USA,USD,United States,3.06,1,3.06,0
2006-01-01,AUS,AUD,Australia,3.25,1.3308,2.44214006612564,-0.224717439325194
2006-01-01,GBR,GBP,Britain,1.88,0.566925563,3.3161319980909,0.0527403168542548
2006-01-01,CAN,CAD,Canada,3.52,1.1704,3.00751879699248,-0.0452321279388949
2006-01-01,JPN,JPY,Japan,250,114.305,2.18713092165697,-0.305672723283502
2006-01-01,MEX,MXN,Mexico,28,10.5425,2.65591652833768,-0.156851895765816
2006-01-01,SGP,SGD,Singapore,3.6,1.6353,2.20143093010457,-0.301133038062042
2006-01-01,ZAF,ZAR,South Africa,13.95,6.0803,2.29429468940677,-0.271652479553405
2006-01-01,USA,USD,United States,3.15,1,3.15,0
2006-05-01,AUS,AUD,Australia,3.25,1.33253,2.43896947911116,-0.213235651899624
2006-05-01,GBR,GBP,Britain,1.94,0.531801744,3.64797600212458,0.176766452298252
2006-05-01,CAN,CAD,Canada,3.52,1.12045,3.1415948949083,0.013417708034934
2006-05-01,JPN,JPY,Japan,250,112.105,2.23005218322109,-0.280628327993198
2006-05-01,MEX,MXN,Mexico,29,11.3031,2.56566782564075,-0.172365217535241
2006-05-01,SGP,SGD,Singapore,3.6,1.5873,2.26800226800227,-0.268386365160559
2006-05-01,ZAF,ZAR,South Africa,13.95,6.597,2.11459754433834,-0.317871759890859
