date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,CNY,adj_close
2016-07-01,IDN,IDR,Indonesia,31000,13112.5,2.36415633937083,-0.53092,-0.15119,112.97
2016-07-01,USA,USD,United States,5.04,1,5.04,0,0.80952,112.97
2017-01-01,ARG,ARS,Argentina,55,15.8575,3.46839035156866,-0.31455,0.22572,116.5
2017-01-01,CHN,CNY,China,19.6,6.9266,2.82967112291745,-0.44078,0,116.5
2017-01-01,IDN,IDR,Indonesia,31000,13329,2.32575587065796,-0.54036,-0.17808,116.5
2017-01-01,USA,USD,United States,5.06,1,5.06,0,0.78819,116.5
2017-07-01,ARG,ARS,Argentina,70,16.9675,4.12553410932665,-0.2216,0.41425,-
2017-07-01,CHN,CNY,China,19.8,6.7875,2.9171270718232,-0.4496,0,-
2017-07-01,IDN,IDR,Indonesia,32126,13369.5,2.40293204682299,-0.54662,-0.17627,-
2017-07-01,USA,USD,United States,5.3,1,5.3,0,0.81686,-
2018-01-01,ARG,ARS,Argentina,75,18.9375,3.96039603960396,-0.24992,0.24869,122.25
2018-01-01,CHN,CNY,China,20.4,6.432,3.17164179104478,-0.39931,0,122.25
2018-01-01,IDN,IDR,Indonesia,35750,13359,2.67609851036754,-0.49316,-0.15624,122.25
2018-01-01,USA,USD,United States,5.28,1,5.28,0,0.66475,122.25
2018-07-01,ARG,ARS,Argentina,75,27.725,2.70513976555455,-0.50905,-0.12617,107.18
2018-07-01,CHN,CNY,China,20.5,6.622,3.09574146783449,-0.43816,0,107.18
2018-07-01,IDN,IDR,Indonesia,31500,14360,2.19359331476323,-0.60189,-0.29142,107.18
2018-07-01,USA,USD,United States,5.51,1,5.51,0,0.77986,107.18
2019-01-01,ARG,ARS,Argentina,75,37.455,2.00240288346015,-0.64115,-0.34374,124.1
2019-01-01,CHN,CNY,China,20.9,6.8497,3.05122852095712,-0.45318,0,124.1
2019-01-01,IDN,IDR,Indonesia,33000,14090,2.34208658623137,-0.58027,-0.23241,124.1
2019-01-01,USA,USD,United States,5.58,1,5.58,0,0.82877,124.1
2019-07-09,ARG,ARS,Argentina,120,41.8045,2.87050437153895,-0.49991,-0.05894,108.13
2019-07-09,CHN,CNY,China,21,6.8846,3.05028614589083,-0.46859,0,108.13
2019-07-09,IDN,IDR,Indonesia,32000,14130,2.26468506723284,-0.60546,-0.25755,108.13
2019-07-09,USA,USD,United States,5.74,1,5.74,0,0.88179,108.13
2020-01-14,ARG,ARS,Argentina,171,60.0656,2.84688740310594,-0.4979,-0.08833,126.85
2020-01-14,CHN,CNY,China,21.5,6.885,3.12273057371097,-0.44925,0,126.85
2020-01-14,IDN,IDR,Indonesia,33000,13670,2.41404535479151,-0.57424,-0.22694,126.85
2020-01-14,USA,USD,United States,5.67,1,5.67,0,0.81572,126.85
2020-07-01,ARG,ARS,Argentina,250,71.24065,3.50923243962541,-0.38542,0.13258,97.3
2020-07-01,CHN,CNY,China,21.7,7.0035,3.09845077461269,-0.45736,0,97.3
2020-07-01,IDN,IDR,Indonesia,34000,14435,2.35538621406304,-0.5875,-0.23982,97.3
2020-07-01,USA,USD,United States,5.71,1,5.71,0,0.84286,97.3
2021-01-01,ARG,ARS,Argentina,320,85.3736,3.74823130335373,-0.33777,0.08349,115.3
2021-01-01,CHN,CNY,China,22.4,6.4751,3.45940603233927,-0.3888,0,115.3
2021-01-01,IDN,IDR,Indonesia,34000,14125,2.4070796460177,-0.57472,-0.30419,115.3
2021-01-01,USA,USD,United States,5.66,1,5.66,0,0.63612,115.3
2021-07-01,ARG,ARS,Argentina,380,96.33375,3.94461961669716,-0.30184,0.14107,123.57
2021-07-01,CHN,CNY,China,22.4,6.4797,3.45695016744602,-0.38815,0,123.57
2021-07-01,IDN,IDR,Indonesia,34000,14517.5,2.34200103323575,-0.58549,-0.32252,123.57
2021-07-01,USA,USD,United States,5.65,1,5.65,0,0.63439,123.57
