Date,Open,High,Low,Close*,Adj Close**,Volume
12/31/2020,112.4,113.05,112.4,112.95,112.95,"15,312"
12/30/2020,112.43,112.5,111.55,112.13,112.13,220
12/29/2020,113.2,113.55,111.9,112.05,112.05,868
12/28/2020,112,113.38,112,113.05,113.05,872
12/24/2020,-,-,-,-,-,-
12/23/2020,110.32,111.93,110.2,111.93,111.93,"1,078"
12/22/2020,110.45,110.5,110.2,110.32,110.32,878
12/21/2020,109.9,110.72,109.43,110.6,110.6,"1,340"
12/18/2020,109.5,110.5,109.3,110.47,110.47,"1,746"
12/17/2020,108.13,109.45,107.85,109.35,109.35,"3,988"
12/16/2020,108.35,108.85,108.15,108.78,108.78,"1,575"
12/15/2020,108.8,109.32,108.4,108.6,108.6,"1,395"
12/14/2020,108.75,109.2,108.7,109.1,109.1,"1,016"
12/11/2020,107.8,109.18,107.8,108.75,108.75,"3,121"
12/10/2020,107.22,108.3,107.15,107.93,107.93,"2,088"
12/9/2020,107.85,108.07,107.22,107.38,107.38,"2,421"
12/8/2020,107.85,108.28,107.7,107.85,107.85,"2,497"
12/7/2020,108.25,108.75,107.8,108,108,"4,208"
12/4/2020,109.4,109.4,107.97,108.88,108.88,"8,156"
12/3/2020,110.6,110.6,108.95,109.6,109.6,"6,615"
12/2/2020,110.2,110.8,109.75,110.7,110.7,"6,697"
12/1/2020,110.28,110.88,110.25,110.63,110.63,"6,189"
11/30/2020,110.2,110.55,109.8,110.18,110.18,"6,471"
11/27/2020,-,-,-,-,-,-
11/25/2020,111.53,111.65,110.88,111.38,111.38,"6,222"
11/24/2020,109.95,111.68,109.95,111.18,111.18,"8,895"
11/23/2020,108.55,110.7,108.53,110,110,"9,460"
11/20/2020,108.3,108.65,106.6,108.1,108.1,"11,424"
11/19/2020,110.5,110.63,107.68,108.25,108.25,"16,015"
11/18/2020,111.35,111.53,110.45,110.65,110.65,"10,208"
11/17/2020,110.5,111.78,110.13,111.32,111.32,"16,222"
11/16/2020,110.35,110.7,109.8,110.43,110.43,"15,796"
11/13/2020,111.63,112.03,109.78,109.93,109.93,"24,599"
11/12/2020,112.3,112.53,111.7,111.97,111.97,"27,705"
11/11/2020,111.72,112.7,111.2,112.4,112.4,"30,993"
11/10/2020,111.43,112.3,111.4,111.88,111.88,"36,676"
11/9/2020,109.4,111.95,109.35,111.82,111.82,"45,621"
11/6/2020,108.18,109.13,108.07,108.65,108.65,"32,616"
11/5/2020,108.68,109,107.82,108.35,108.35,"26,050"
11/4/2020,107.45,108.13,106.88,107.88,107.88,"20,125"
11/3/2020,108.68,108.7,107.57,107.82,107.82,"20,411"
